"","q","value"
"1",2000,5.69900058556051
"2",2000.25,3.57138028682417
"3",2000.5,5.56987852920923
"4",2000.75,3.44394977585347
"5",2001,4.49053589461179
"6",2001.25,6.35234018240425
"7",2001.5,4.51251842920206
"8",2001.75,4.32430173966941
"9",2002,3.85904039005371
"10",2002.25,4.31938134180924
"11",2002.5,4.34586084728843
"12",2002.75,5.40227474013467
"13",2003,4.83604724351091
"14",2003.25,2.85843106351198
"15",2003.5,2.58711396552075
"16",2003.75,4.08472016298116
"17",2004,4.55264861781875
"18",2004.25,5.2875741545758
"19",2004.5,5.91325300965864
"20",2004.75,3.67343335011405
"21",2005,3.35553645525006
"22",2005.25,3.42549979855149
"23",2005.5,3.06031573621856
"24",2005.75,3.40545160043784
"25",2006,3.38785853590467
"26",2006.25,2.92045725540123
"27",2006.5,3.50001955291047
"28",2006.75,2.82169140513982
"29",2007,2.71912228884675
"30",2007.25,3.86889505248692
"31",2007.5,3.48535366150576
"32",2007.75,5.73910527574526
"33",2008,5.93529300974107
"34",2008.25,6.79887688604847
"35",2008.5,7.65588264678949
"36",2008.75,3.34757793688905
"37",2009,2.47425081480661
"38",2009.25,1.14835900480601
"39",2009.5,1.05698779726629
"40",2009.75,3.75773163367145
"41",2010,5.63017532217385
"42",2010.25,5.4115390530117
"43",2010.5,4.75235137508667
"44",2010.75,5.56354941790087
"45",2011,6.02151972165597
"46",2011.25,5.480519541988
"47",2011.5,5.62974557506059
"48",2011.75,4.90760703956711
"49",2012,3.44111541424959
"50",2012.25,2.64140449667843
"51",2012.5,1.41669063395639
"52",2012.75,1.68170047616364
"53",2013,1.61102378144695
"54",2013.25,1.42906932276045
"55",2013.5,1.94280000293353
"56",2013.75,1.70139826832948
"57",2014,1.74832132293324
"58",2014.25,2.31951392913192
"59",2014.5,1.81162682652648
"60",2014.75,1.00804387387841
"61",2015,0.523689330856967
"62",2015.25,0.100692223124706
"63",2015.5,0.907437673465032
"64",2015.75,1.3741716087611
"65",2016,1.24777007391388
"66",2016.25,1.63554392662021
"67",2016.5,1.08466384070184
"68",2016.75,2.05510803098249
"69",2017,3.44973381810469
"70",2017.25,2.88343284356499
"71",2017.5,3.89902279806393
"72",2017.75,2.28963874174753
"73",2018,1.79832119735244
"74",2018.25,2.50315603292732
"75",2018.5,2.29362215689274
"76",2018.75,3.08725727279166
"77",2019,0.591670253056199
"78",2019.25,0.988627488083663
"79",2019.5,0.030673443236719
"80",2019.75,0.683298650879581
"81",2020,1.08985018547102
"82",2020.25,-2.33705025922732
"83",2020.5,-0.406518568932268
"84",2020.75,-0.757488244842028
"85",2021,2.2313038759504
"86",2021.25,5.70473789354307
"87",2021.5,4.6810668376956
"88",2021.75,6.19503127944875
"89",2022,5.97850561189209
"90",2022.25,8.2004524203121
"91",2022.5,8.96833087975788
"92",2022.75,7.22583150184763
"93",2023,6.25015009828916
